SAP2000 v14.0.0    3/26/21 14:49:30

Table:  Element Forces - Frames

       Frame     Station  OutputCase    CaseType           P          V2          V3           T          M2          M3   FrameElem ElemStation
                      mm                                   N           N           N        N-mm        N-mm        N-mm                      mm

          17      250.00        DEAD   LinStatic        0.00   -20615.45        0.00   468444.78        0.00 -17055164.3        17-1      250.00
          17      750.00        DEAD   LinStatic        0.00   -18091.25        0.00   468444.78        0.00 -7312581.79        17-1      750.00
          17     1250.00        DEAD   LinStatic        0.00   -14182.97        0.00   468444.78        0.00   788927.97        17-1     1250.00
          17     1750.00        DEAD   LinStatic        0.00   -10076.97        0.00   468444.78        0.00  6853914.87        17-1     1750.00
          17     2250.00        DEAD   LinStatic        0.00    -5970.97        0.00   468444.78        0.00 10865901.79        17-1     2250.00
          17     2750.00        DEAD   LinStatic        0.00    -1864.97        0.00   468444.78        0.00 12824888.72        17-1     2750.00
          17     3250.00        DEAD   LinStatic        0.00     2241.03        0.00   468444.78        0.00 12730875.66        17-1     3250.00
          17     3750.00        DEAD   LinStatic        0.00     6347.03        0.00   468444.78        0.00 10583862.63        17-1     3750.00
          17     4250.00        DEAD   LinStatic        0.00    10453.03        0.00   468444.78        0.00  6383849.60        17-1     4250.00
          17     4750.00        DEAD   LinStatic        0.00    14559.03        0.00   468444.78        0.00   130836.60        17-1     4750.00
          17     5250.00        DEAD   LinStatic        0.00    18467.30        0.00   468444.78        0.00 -8158699.29        17-1     5250.00
          17     5750.00        DEAD   LinStatic        0.00    20991.50        0.00   468444.78        0.00 -18089308.0        17-1     5750.00
          17      250.00        LIVE   LinStatic        0.00    -4897.67        0.00   129084.85        0.00 -4137811.19        17-1      250.00
          17      750.00        LIVE   LinStatic        0.00    -4397.67        0.00   129084.85        0.00 -1793144.44        17-1      750.00
          17     1250.00        LIVE   LinStatic        0.00    -3460.17        0.00   129084.85        0.00   181730.71        17-1     1250.00
          17     1750.00        LIVE   LinStatic        0.00    -2460.17        0.00   129084.85        0.00  1661814.21        17-1     1750.00
          17     2250.00        LIVE   LinStatic        0.00    -1460.17        0.00   129084.85        0.00  2641897.71        17-1     2250.00
          17     2750.00        LIVE   LinStatic        0.00     -460.17        0.00   129084.85        0.00  3121981.20        17-1     2750.00
          17     3250.00        LIVE   LinStatic        0.00      539.83        0.00   129084.85        0.00  3102064.70        17-1     3250.00
          17     3750.00        LIVE   LinStatic        0.00     1539.83        0.00   129084.85        0.00  2582148.20        17-1     3750.00
          17     4250.00        LIVE   LinStatic        0.00     2539.83        0.00   129084.85        0.00  1562231.70        17-1     4250.00
          17     4750.00        LIVE   LinStatic        0.00     3539.83        0.00   129084.85        0.00    42315.19        17-1     4750.00
          17     5250.00        LIVE   LinStatic        0.00     4477.33        0.00   129084.85        0.00 -1972392.97        17-1     5250.00
          17     5750.00        LIVE   LinStatic        0.00     4977.33        0.00   129084.85        0.00 -4356892.76        17-1     5750.00
          17      250.00       WINDX   LinStatic        0.00   7.954E-09        0.00   9.661E-07        0.00   2.234E-05        17-1      250.00
          17      750.00       WINDX   LinStatic        0.00   7.954E-09        0.00   9.661E-07        0.00   1.836E-05        17-1      750.00
          17     1250.00       WINDX   LinStatic        0.00   7.954E-09        0.00   9.661E-07        0.00   1.438E-05        17-1     1250.00
          17     1750.00       WINDX   LinStatic        0.00   7.954E-09        0.00   9.661E-07        0.00   1.041E-05        17-1     1750.00
          17     2250.00       WINDX   LinStatic        0.00   7.954E-09        0.00   9.661E-07        0.00   6.429E-06        17-1     2250.00
          17     2750.00       WINDX   LinStatic        0.00   7.954E-09        0.00   9.661E-07        0.00   2.452E-06        17-1     2750.00
          17     3250.00       WINDX   LinStatic        0.00   7.954E-09        0.00   9.661E-07        0.00  -1.525E-06        17-1     3250.00
          17     3750.00       WINDX   LinStatic        0.00   7.954E-09        0.00   9.661E-07        0.00  -5.502E-06        17-1     3750.00
          17     4250.00       WINDX   LinStatic        0.00   7.954E-09        0.00   9.661E-07        0.00  -9.478E-06        17-1     4250.00
          17     4750.00       WINDX   LinStatic        0.00   7.954E-09        0.00   9.661E-07        0.00  -1.346E-05        17-1     4750.00
          17     5250.00       WINDX   LinStatic        0.00   7.954E-09        0.00   9.661E-07        0.00  -1.743E-05        17-1     5250.00
          17     5750.00       WINDX   LinStatic        0.00   7.954E-09        0.00   9.661E-07        0.00  -2.141E-05        17-1     5750.00
          17      250.00       WINDY   LinStatic        0.00     3784.01        0.00     3867.20        0.00 10622900.43        17-1      250.00
